id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion,tiempo_procesamiento,estado
1,2024-01-01 09:00:00,5,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:16.497736,2025-04-25 21:40:16.497755,1.176,completed
2,2024-01-01 09:00:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:39:59.854471,2025-04-25 21:39:59.854498,0.863,completed
3,2024-02-01 08:40:00,3,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:09.280741,2025-04-25 21:40:09.280767,2.929,completed
4,2024-01-01 10:00:00,4,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:12.967863,2025-04-25 21:40:12.967881,0.902,completed
5,2024-01-01 08:00:00,3,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:08.991192,2025-04-25 21:40:08.991212,1.677,completed
6,2024-01-01 10:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:05.486643,2025-04-25 21:40:05.486658,2.178,completed
7,2024-01-01 10:00:00,1,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:00.204785,2025-04-25 21:40:00.204800,1.213,completed
8,2024-01-01 09:00:00,2,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:07.312741,2025-04-25 21:40:07.312751,2.492,completed
9,2024-01-01 08:40:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:01.465920,2025-04-25 21:40:01.465930,2.469,completed
10,2024-01-01 09:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:08.790337,2025-04-25 21:40:08.790347,0.887,completed
11,2024-02-01 09:00:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:00.129224,2025-04-25 21:40:00.129239,0.267,completed
12,2024-01-01 09:00:00,5,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:17.926259,2025-04-25 21:40:17.926278,2.517,completed
13,2024-01-01 08:40:00,4,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:15.407530,2025-04-25 21:40:15.407546,2.619,completed
14,2024-01-01 10:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:10.657743,2025-04-25 21:40:10.657752,1.866,completed
15,2024-01-01 08:00:00,5,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:17.415262,2025-04-25 21:40:17.415272,0.916,completed
16,2024-01-01 10:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:05.531259,2025-04-25 21:40:05.531264,0.043,completed
17,2024-01-01 10:00:00,3,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:11.039043,2025-04-25 21:40:11.039058,2.046,completed
18,2024-01-01 09:00:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:00.678485,2025-04-25 21:40:00.678497,0.548,completed
19,2024-01-01 08:40:00,5,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:18.847818,2025-04-25 21:40:18.847825,2.265,completed
20,2024-01-01 09:00:00,2,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:07.900732,2025-04-25 21:40:07.900745,2.389,completed
21,2024-01-01 09:00:00,3,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:11.805325,2025-04-25 21:40:11.805337,2.523,completed
22,2024-01-01 09:00:00,4,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:14.567968,2025-04-25 21:40:14.567974,1.597,completed
23,2024-01-01 08:40:00,1,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:02.109995,2025-04-25 21:40:02.110004,1.903,completed
24,2024-01-01 10:00:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:03.308251,2025-04-25 21:40:03.308257,2.628,completed
25,2024-01-01 08:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:05.620814,2025-04-25 21:40:05.620821,0.089,completed
26,2024-03-01 10:00:00,5,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:18.190598,2025-04-25 21:40:18.190612,0.774,completed
27,2024-01-01 10:00:00,5,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:18.973577,2025-04-25 21:40:18.973587,1.045,completed
28,2024-01-01 09:00:00,4,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:15.319602,2025-04-25 21:40:15.319618,2.218,completed
29,2024-01-01 08:40:00,4,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:15.101190,2025-04-25 21:40:15.101209,0.533,completed
